generation,subtype,file_name,pages,plates,parts,diagrams,verification_required,sha256,status,duplicate_of,source_path,output_path
Pre_Y60,Vehicle_Catalogs,160_mq_mk_series.pdf,1,0,0,0,1,9c3db6d9adc52c1e9f7838f6e4041abfba796963b0f2219c908dc1838cf06647,copied_verified_pdf,,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\deliverables\translated_vehicle_pdfs_named\160_mq_mk_series.pdf,C:\Users\safwa\Documents\Codex\2026-07-01\partsouq-com-1-y60-y60-y61-2\outputs\كتلوجات الباترول من اللابتوب\النسخة_الشاملة_المترجمة\Pre_Y60\Vehicle_Catalogs\160_mq_mk_series.pdf
Pre_Y60,Vehicle_Catalogs,260_series.pdf,1,0,0,0,1,60523eaf58064c864d0b8f2927441afddafbd8f51e1f337c466b36824eedcbd2,copied_verified_pdf,,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\deliverables\translated_vehicle_pdfs_named\260_series.pdf,C:\Users\safwa\Documents\Codex\2026-07-01\partsouq-com-1-y60-y60-y61-2\outputs\كتلوجات الباترول من اللابتوب\النسخة_الشاملة_المترجمة\Pre_Y60\Vehicle_Catalogs\260_series.pdf
Pre_Y60,Vehicle_Catalogs,4w60_4w_series.pdf,1,0,0,0,1,543eff24d626969a439ced928fbb7b8663daebef203a37787b2ae8949bcdad8b,copied_verified_pdf,,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\deliverables\translated_vehicle_pdfs_named\4w60_4w_series.pdf,C:\Users\safwa\Documents\Codex\2026-07-01\partsouq-com-1-y60-y60-y61-2\outputs\كتلوجات الباترول من اللابتوب\النسخة_الشاملة_المترجمة\Pre_Y60\Vehicle_Catalogs\4w60_4w_series.pdf
Pre_Y60,Vehicle_Catalogs,60_g60_series.pdf,1,0,0,0,1,57d56ef1029d9a71cfa0f594d3b45de5a269d227e2693129552088374ab6890e,copied_verified_pdf,,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\deliverables\translated_vehicle_pdfs_named\60_g60_series.pdf,C:\Users\safwa\Documents\Codex\2026-07-01\partsouq-com-1-y60-y60-y61-2\outputs\كتلوجات الباترول من اللابتوب\النسخة_الشاملة_المترجمة\Pre_Y60\Vehicle_Catalogs\60_g60_series.pdf
Y60,Vehicle_Catalogs,WLGY60JFRC5_WGY60348567_General_Asia_LHD_WAGON_TB42S_SGL.pdf,242,170,3081,98,1,1254d7c18c6582fa919d81743ba261531b72684e481ee814ce23c81588543897,copied_verified_pdf,,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\deliverables\translated_vehicle_pdfs_named\WLGY60JFRC5_WGY60348567_General_Asia_LHD_WAGON_TB42S_SGL.pdf,C:\Users\safwa\Documents\Codex\2026-07-01\partsouq-com-1-y60-y60-y61-2\outputs\كتلوجات الباترول من اللابتوب\النسخة_الشاملة_المترجمة\Y60\Vehicle_Catalogs\WLGY60JFRC5_WGY60348567_General_Asia_LHD_WAGON_TB42S_SGL.pdf
Y60,Vehicle_Catalogs,Y60_03c0edcc0762_Australia_RHD_WAGON_TD42_STD.pdf,404,250,9082,250,0,bf0762fefd4537291db899b5ab9e7fa35d80a7c9149282ae00e228fb076252e8,copied_verified_pdf,,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\deliverables\translated_vehicle_pdfs_named\Y60_03c0edcc0762_Australia_RHD_WAGON_TD42_STD.pdf,C:\Users\safwa\Documents\Codex\2026-07-01\partsouq-com-1-y60-y60-y61-2\outputs\كتلوجات الباترول من اللابتوب\النسخة_الشاملة_المترجمة\Y60\Vehicle_Catalogs\Y60_03c0edcc0762_Australia_RHD_WAGON_TD42_STD.pdf
Y60,Vehicle_Catalogs,Y60_1988_Y60_1988_201206_General_Asia_LHD_HIGH_ROOF_TB42S_STD.pdf,310,213,5307,213,0,6c7ea6f3aa927023fec2a76f2602b7c53ac8cc0ca06c87850c3a347fa3dfbfcf,copied_verified_pdf,,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\deliverables\translated_vehicle_pdfs_named\Y60_1988_Y60_1988_201206_General_Asia_LHD_HIGH_ROOF_TB42S_STD.pdf,C:\Users\safwa\Documents\Codex\2026-07-01\partsouq-com-1-y60-y60-y61-2\outputs\كتلوجات الباترول من اللابتوب\النسخة_الشاملة_المترجمة\Y60\Vehicle_Catalogs\Y60_1988_Y60_1988_201206_General_Asia_LHD_HIGH_ROOF_TB42S_STD.pdf
Y60,Vehicle_Catalogs,Y60_1988_Y60_1988_201207_General_Asia_LHD_HIGH_ROOF_TB42S_STD.pdf,447,261,9531,261,0,57c5191f7b6dd4edb4e4fcae127198eb9a5f1a620ae22b0d6bc53658aa3f367b,copied_verified_pdf,,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\deliverables\translated_vehicle_pdfs_named\Y60_1988_Y60_1988_201207_General_Asia_LHD_HIGH_ROOF_TB42S_STD.pdf,C:\Users\safwa\Documents\Codex\2026-07-01\partsouq-com-1-y60-y60-y61-2\outputs\كتلوجات الباترول من اللابتوب\النسخة_الشاملة_المترجمة\Y60\Vehicle_Catalogs\Y60_1988_Y60_1988_201207_General_Asia_LHD_HIGH_ROOF_TB42S_STD.pdf
Y60,Vehicle_Catalogs,Y60_1988_Y60_1988_201209_General_Asia_LHD_HIGH_ROOF_TD42_STD.pdf,375,258,6770,257,0,c08c9d03a125194794c6023ca490967a4800c17f197922fdf492559a5f31a76d,copied_verified_pdf,,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\deliverables\translated_vehicle_pdfs_named\Y60_1988_Y60_1988_201209_General_Asia_LHD_HIGH_ROOF_TD42_STD.pdf,C:\Users\safwa\Documents\Codex\2026-07-01\partsouq-com-1-y60-y60-y61-2\outputs\كتلوجات الباترول من اللابتوب\النسخة_الشاملة_المترجمة\Y60\Vehicle_Catalogs\Y60_1988_Y60_1988_201209_General_Asia_LHD_HIGH_ROOF_TD42_STD.pdf
Y60,Vehicle_Catalogs,Y60_1988_Y60_1988_201328_General_Asia_LHD_HIGH_ROOF_WAGON_TB42S_DX.pdf,391,232,8076,226,0,e2e55bce6d2e34ba92c2cb385075e8ea56cbae7a20a2b3982d3f4c8cccd4ac81,copied_verified_pdf,,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\deliverables\translated_vehicle_pdfs_named\Y60_1988_Y60_1988_201328_General_Asia_LHD_HIGH_ROOF_WAGON_TB42S_DX.pdf,C:\Users\safwa\Documents\Codex\2026-07-01\partsouq-com-1-y60-y60-y61-2\outputs\كتلوجات الباترول من اللابتوب\النسخة_الشاملة_المترجمة\Y60\Vehicle_Catalogs\Y60_1988_Y60_1988_201328_General_Asia_LHD_HIGH_ROOF_WAGON_TB42S_DX.pdf
Y60,Vehicle_Catalogs,Y60_1988_Y60_1988_201330_General_Asia_LHD_HIGH_ROOF_WAGON_TB42S_DX.pdf,400,216,8680,206,0,979485648b80dbed32e5bebe3badae8a35afcc6ab5964c27b1d5f265949ce861,copied_verified_pdf,,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\deliverables\translated_vehicle_pdfs_named\Y60_1988_Y60_1988_201330_General_Asia_LHD_HIGH_ROOF_WAGON_TB42S_DX.pdf,C:\Users\safwa\Documents\Codex\2026-07-01\partsouq-com-1-y60-y60-y61-2\outputs\كتلوجات الباترول من اللابتوب\النسخة_الشاملة_المترجمة\Y60\Vehicle_Catalogs\Y60_1988_Y60_1988_201330_General_Asia_LHD_HIGH_ROOF_WAGON_TB42S_DX.pdf
Y60,Vehicle_Catalogs,Y60_1988_Y60_1988_201334_General_Asia_LHD_HIGH_ROOF_WAGON_TB42S_DX.pdf,390,227,7900,227,0,1c0452a6bf1d1133aa63ef7f158d80e67f7ba15651b85f18905e2181c468df55,copied_verified_pdf,,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\deliverables\translated_vehicle_pdfs_named\Y60_1988_Y60_1988_201334_General_Asia_LHD_HIGH_ROOF_WAGON_TB42S_DX.pdf,C:\Users\safwa\Documents\Codex\2026-07-01\partsouq-com-1-y60-y60-y61-2\outputs\كتلوجات الباترول من اللابتوب\النسخة_الشاملة_المترجمة\Y60\Vehicle_Catalogs\Y60_1988_Y60_1988_201334_General_Asia_LHD_HIGH_ROOF_WAGON_TB42S_DX.pdf
Y60,Vehicle_Catalogs,Y60_1988_Y60_1988_201335_General_Asia_LHD_HIGH_ROOF_WAGON_TB42S_DX.pdf,422,253,8463,253,0,7943511df48b84232e6fadbb6b69b852e8a400d28245d9adf15128450600cea7,copied_verified_pdf,,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\deliverables\translated_vehicle_pdfs_named\Y60_1988_Y60_1988_201335_General_Asia_LHD_HIGH_ROOF_WAGON_TB42S_DX.pdf,C:\Users\safwa\Documents\Codex\2026-07-01\partsouq-com-1-y60-y60-y61-2\outputs\كتلوجات الباترول من اللابتوب\النسخة_الشاملة_المترجمة\Y60\Vehicle_Catalogs\Y60_1988_Y60_1988_201335_General_Asia_LHD_HIGH_ROOF_WAGON_TB42S_DX.pdf
Y60,Vehicle_Catalogs,Y60_1988_Y60_1988_201339_General_Asia_LHD_HIGH_ROOF_WAGON_TB42S_STD.pdf,91,55,1726,55,0,61e88bd50d9edf2bba9fc21a27c0d21e2016d07f5cd3082652309fec43cfdb55,copied_verified_pdf,,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\deliverables\translated_vehicle_pdfs_named\Y60_1988_Y60_1988_201339_General_Asia_LHD_HIGH_ROOF_WAGON_TB42S_STD.pdf,C:\Users\safwa\Documents\Codex\2026-07-01\partsouq-com-1-y60-y60-y61-2\outputs\كتلوجات الباترول من اللابتوب\النسخة_الشاملة_المترجمة\Y60\Vehicle_Catalogs\Y60_1988_Y60_1988_201339_General_Asia_LHD_HIGH_ROOF_WAGON_TB42S_STD.pdf
Y60,Vehicle_Catalogs,Y60_1988_Y60_1988_201340_General_Asia_LHD_HIGH_ROOF_WAGON_TB42S_STD.pdf,375,255,6745,253,0,024e7a961522284dd103282b973d6561a2f462867695f1a3a253762b29571dde,copied_verified_pdf,,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\deliverables\translated_vehicle_pdfs_named\Y60_1988_Y60_1988_201340_General_Asia_LHD_HIGH_ROOF_WAGON_TB42S_STD.pdf,C:\Users\safwa\Documents\Codex\2026-07-01\partsouq-com-1-y60-y60-y61-2\outputs\كتلوجات الباترول من اللابتوب\النسخة_الشاملة_المترجمة\Y60\Vehicle_Catalogs\Y60_1988_Y60_1988_201340_General_Asia_LHD_HIGH_ROOF_WAGON_TB42S_STD.pdf
